trial,prompt,passed,total_calls,unnecessary_calls,expected_calls,true_positives,false_positives,false_negatives,precision,recall,f1_score
0,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,10,0,15,10,0,5,1.0,0.6666666666666666,0.8
1,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,12,8,15,4,8,11,0.3333333333333333,0.26666666666666666,0.2962962962962963
2,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,15,13,15,2,13,13,0.13333333333333333,0.13333333333333333,0.13333333333333333
3,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,7,0,15,7,0,8,1.0,0.4666666666666667,0.6363636363636364
4,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,9,0,15,9,0,6,1.0,0.6,0.7499999999999999
5,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,25,23,15,2,23,13,0.08,0.13333333333333333,0.1
6,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,14,0,15,14,0,1,1.0,0.9333333333333333,0.9655172413793104
7,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,9,0,15,9,0,6,1.0,0.6,0.7499999999999999
8,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,13,0,15,13,0,2,1.0,0.8666666666666667,0.9285714285714286
9,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,25,17,15,8,17,7,0.32,0.5333333333333333,0.4
